TYPE;Model;Voltage_V;Capacity_mAh;Weight_g;Energy_density_Wh_kg;Imax_A;Pmax_W_kg;Energy_J
RAMPAGE;TP325-1SR70J;3.7;325;12;100.2083333;45.5;14029.16667;4329
RAMPAGE;TP325-2SR70B;7.4;325;23;104.5652174;45.5;14639.13043;8658
RAMPAGE;TP450-3SR70J;11.1;450;44;113.5227273;63;15893.18182;17982
RAMPAGE;TP870-2SR70J;7.4;870;50;128.76;121.8;18026.4;23176.8
RAMPAGE;TP870-3SR70J;11.1;870;74;130.5;121.8;18270;34765.2
RAMPAGE;TP870-4SR70;14.8;870;101;127.4851485;121.8;17847.92079;46353.6
RAMPAGE;TP1300-2SR70;7.4;1300;74;130;182;18200;34632
RAMPAGE;TP1300-3SR70;11.1;1300;109;132.3853211;182;18533.94495;51948
RAMPAGE;TP1800-3SR70;11.1;1800;150;133.2;252;18648;71928
RAMPAGE;TP1800-4SR70;14.8;1800;196;135.9183673;252;19028.57143;95904
RAMPAGE;TP1800-5SR70;18.5;1800;244;136.4754098;252;19106.55738;119880
RAMPAGE;TP1800-6SR70;22.2;1800;291;137.3195876;252;19224.74227;143856
RAMPAGE;TP2250-2SR70;7.4;2250;119;139.9159664;315;19588.23529;59940
RAMPAGE;TP2250-4SR70;14.8;2250;236;141.1016949;315;19754.23729;119880
RAMPAGE;TP2700-3SR70;11.1;2700;216;138.75;378;19425;107892
RAMPAGE;TP3300-6SR70;22.2;3300;515;142.2524272;462;19915.33981;263736
RAMPAGE;TP3300-3SR70;11.1;3300;266;137.7067669;462;19278.94737;131868
RAMPAGE;TP3300-10SR70;37;3300;859;142.1420256;462;19899.88359;439560
RAMPAGE;TP3850-3SR70;11.1;3500;310;125.3225806;490;17545.16129;139860
RAMPAGE;TP3850-7SR70;25.9;3850;700;142.45;539;19943;358974
RAMPAGE;TP4400-2SR70;7.4;4400;233;139.7424893;616;19563.9485;117216
RAMPAGE;TP5000-4SR70;14.8;5000;515;143.6893204;700;20116.50485;266400
RAMPAGE;TP5000-5SR70;18.5;5000;650;142.3076923;700;19923.07692;333000
RAMPAGE;TP6600-3SR70;11.1;6600;527;139.0132827;924;19461.85958;263736
