TYPE;Model;Kv_rpm_v;R_ohm;Mass_g;Imax_A;Voltage;Tnom_Nm
maxon EC ;EC 40 ?40 mm, brushless, 170 Watt;241;0.246;580;69.1;42;0.161
maxon EC ;EC 40 ?40 mm, brushless, 170 Watt;206;0.337;580;59.6;48;0.165
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;827;0.0266;850;119;12;0.174
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;478;0.0797;850;43.6;12;0.186
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;579;0.0542;850;93.3;18;0.171
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;334;0.163;850;32.6;18;0.184
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;445;0.0917;850;74.8;24;0.169
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;257;0.275;850;25.6;24;0.183
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;263;0.263;850;43.1;36;0.179
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;152;0.788;850;14.5;36;0.191
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;214;0.395;850;37.2;48;0.174
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;124;1.19;850;12.5;48;0.187
maxon EC ;EC 45 ?45 mm, brushless, 250 Watt;364;0.0565;1150;167;24;0.311
maxon EC ;EC 45 ?45 mm, brushless, 250 Watt;210;0.17;1150;55.8;24;0.331
maxon EC ;EC 45 ?45 mm, brushless, 250 Watt;291;0.0883;1150;175;36;0.312
maxon EC ;EC 45 ?45 mm, brushless, 250 Watt;168;0.265;1150;58.3;36;0.341
maxon EC ;EC 45 ?45 mm, brushless, 250 Watt;224;0.149;1150;143;48;0.316
maxon EC ;EC 45 ?45 mm, brushless, 250 Watt;129;0.448;1150;47.7;48;0.347
maxon EC ;EC 60 ?60 mm, brushless, 400 Watt;113;0.273;2450;139;48;0.768
maxon EC ;EC 60 ?60 mm, brushless, 400 Watt;65;0.82;2450;46.4;48;0.843
